,Brands,Model,BEE_Rating,Tons,Reviews_Count,Ratings_Count,Cust_Review,Original_Price,Current_Price,Room_Size,Annual_Power_Usage,Discount,Discount_Band
96,ONIDA,ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,939,7988,4.3,43900,29990,111 - 150,969.15,31.7,C
97,Voltas,Voltas 1 Ton 3 Star Split Inverter AC  - White,3.0,1.0,14,161,3.8,56990,28990,90,672.93,49.1,D
98,IFB,"IFB FastCool Convertible 8-in-1 Cooling, 2023 Model 1.6 Ton 3 Star Split Inverter Smart Ready, 7 Stage...",3.0,1.6,116,944,4.2,53490,36990,151 - 200,1083.54,30.8,C
99,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.0,1.0,179,1726,4.1,42900,28990,90,694.03,32.4,C
100,Godrej,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.0,1.5,403,4378,4.1,45400,30990,111 - 150,965.71,31.7,C
101,Lloyd,Lloyd 1 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,5.0,1.0,2,66,4.2,58990,33990,90,533.89,42.4,C
102,Lloyd,Lloyd 2023 Model 1.2 Ton 3 Star Split Inverter AC  - White,3.0,1.2,878,5312,4.2,54990,31499,91 - 110,854.42,42.7,C
103,LG,LG 1 Ton 5 Star Split Inverter AC  - White,5.0,1.0,2889,28367,4.2,75990,39990,90,622.22,47.4,D
104,MarQ,MarQ by Flipkart 2023 Range 1.5 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technolog...,3.0,1.5,198,1536,4.3,50999,28999,111 - 150,987.7,43.1,C
105,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,5.0,1.0,179,1726,4.1,48900,32990,90,524.03,32.5,C
106,Blue,"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...",3.0,0.8,1521,13889,4.2,41500,27999,90,521.6,32.5,C
107,MarQ,MarQ by Flipkart 2023 Range 0.7 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technolog...,3.0,0.7,34,236,4.4,44449,24999,90,552.95,43.8,C
108,LG,"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter 4 Way Swing, HD Filter with ...",5.0,1.5,425,4239,4.3,85990,43490,111 - 150,685.26,49.4,D
109,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,5.0,1.5,157,1090,4.1,54900,36990,111 - 150,744.39,32.6,C
110,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",5.0,1.5,1521,13889,4.2,73000,43980,111 - 150,770.98,39.8,C
111,Haier,"Haier Frost Self-Clean 2023 Model 1.5 Ton 3 Star Split Inverter Intelli Smart, Intelli Convertible 7-i...",3.0,1.5,2,13,3.8,67490,38490,111 - 150,1020.54,43.0,C
112,Lloyd,Lloyd 1.5 Ton 5 Star Split Inverter AC  - White,5.0,1.5,878,5312,4.2,61990,44900,111 - 150,864.66,27.6,B
113,IFB,"IFB FastCool Convertible 8-in-1 Cooling, 2023 Model 1.5 Ton 4 Star Split Inverter Smart Ready, 7 Stage...",4.0,1.5,116,944,4.2,54990,39999,111 - 150,867.16,27.3,B
114,Lloyd,Lloyd 2023 Model 1.2 Ton 5 Star Split Inverter AC  - White,5.0,1.2,878,5312,4.2,62990,32999,91 - 110,635.62,47.6,D
115,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",3.0,1.5,384,4478,4.1,62250,35799,111 - 150,1002.84,42.5,C
116,Blue,Blue Star 2023 Model 1.3 Ton 3 Star Split Inverter AC  - White,3.0,1.3,1521,13889,4.2,57500,32990,111 - 150,865.48,42.6,C
117,Blue,Blue Star 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,5.0,1.5,2,16,4.5,59990,44900,111 - 150,774.88,25.2,B
118,SAMSUNG,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - W...,3.0,1.5,8,79,4.2,60990,37999,111 - 150,977.8,37.7,C
119,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.0,1.5,403,4378,4.1,49990,32990,111 - 150,883.14,34.0,C
120,ONIDA,ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,939,7988,4.3,43900,29990,111 - 150,969.15,31.7,C
121,Lloyd,Lloyd 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,845,5000,4.2,59990,32990,111 - 150,1002.76,45.0,C
122,Voltas,Voltas 1 Ton 3 Star Split Inverter AC  - White,3.0,1.0,11,97,3.7,56990,29925,90,682.59,47.5,D
123,Blue,Blue Star 1.5 Ton 4 Star Split Inverter AC  - White,4.0,1.5,143,1124,4.3,61000,36999,111 - 150,2070.0,39.3,C
124,Voltas,Voltas 2023 Model 1.5 Ton 5 Star Window Inverter AC  - White,5.0,1.5,46,403,4.1,49990,34089,111 - 150,1114.62,31.8,C
125,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.0,1.0,179,1726,4.1,42900,28990,90,694.03,32.4,C
126,Godrej,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.0,1.5,403,4378,4.1,45400,30990,111 - 150,965.71,31.7,C
127,SAMSUNG,SAMSUNG 1 Ton 5 Star Split Inverter AC  - White,5.0,1.0,3,16,4.3,51240,40616,90,0.0,20.7,B
128,SAMSUNG,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1 Ton 3 Star Split Inverter Wind Free AC  - White,3.0,1.0,178,1874,4.1,52990,32999,90,624.48,37.7,C
129,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,5.0,1.0,179,1726,4.1,48900,32990,90,524.03,32.5,C
130,Blue,"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...",3.0,0.8,1521,13889,4.2,41500,27999,90,521.6,32.5,C
131,MarQ,MarQ by Flipkart 2023 Range 1.5 Ton 4 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technolog...,4.0,1.5,299,2438,4.3,53999,29990,111 - 150,1365.0,44.5,C
132,Haier,"Haier Turbo Cool Plus 2023 Model 1 Ton 2 Star Split Extreme Temperature Cooling,Micro Antibacterial Fi...",2.0,1.0,0,20,3.9,52490,27499,90,752.43,47.6,D
133,Voltas,Voltas 0.75 Ton 3 Star Split AC  - White,3.0,0.75,235,2825,4.1,48990,24999,90,727.66,49.0,D
134,Blue,Blue Star 2023 Model 0.8 Ton 3 Star Window AC  - White,3.0,0.8,131,1312,4.1,30000,24999,90,648.7,16.7,B
135,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,5.0,1.5,157,1090,4.1,54900,36990,111 - 150,744.39,32.6,C
136,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",5.0,1.5,1521,13889,4.2,73000,43980,111 - 150,770.98,39.8,C
137,Thomson,Thomson 2023 Model 1 Ton 2 Star Split With iBreeze Technology AC  - White,2.0,1.0,10,71,4.1,36998,25999,90,732.3,29.7,B
138,LG,LG 1 Ton 3 Star Split Inverter AC  - White,3.0,1.0,2889,28367,4.2,67990,34990,90,685.49,48.5,D
139,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",3.0,1.5,384,4478,4.1,62250,35799,111 - 150,1002.84,42.5,C
140,Blue,Blue Star 2023 Model 1.3 Ton 3 Star Split Inverter AC  - White,3.0,1.3,1521,13889,4.2,57500,32990,111 - 150,865.48,42.6,C
141,ONIDA,ONIDA 1.6 Ton 4 Star Split Inverter AC  - White,4.0,1.6,20,189,4.3,61990,31999,151 - 200,995.55,48.4,D
142,Lloyd,Lloyd 1 Ton 3 Star Split AC  - White,3.0,1.0,111,762,4.2,41990,31990,90,735.4,23.8,B
143,Hitachi,"Hitachi 1.5 T 5 Star Split Inverter AC  - White, Gold",5.0,1.4,217,2406,4.0,65300,41999,111 - 150,780.6,35.7,C
144,Lloyd,Lloyd 2023 Model 1.5 Ton 3 Star Split AC  - White,3.0,1.5,8,81,4.4,62990,62980,111 - 150,1012.53,0.0,A
145,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.0,1.5,403,4378,4.1,49990,49990,111 - 150,883.14,0.0,A
146,ONIDA,ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,939,7988,4.3,43900,29990,111 - 150,969.15,31.7,C
147,Godrej,Godrej Turbo Mode 2023 Model 1.5 Ton 3 Star Window Inverter Anti-Dust Filter with Anti-Freeze Thermost...,3.0,1.5,30,211,4.2,46900,26990,111 - 150,1262.92,42.5,C
148,Lloyd,Lloyd 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,3.0,1.0,60,282,4.3,47990,32999,90,698.49,31.2,C
149,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.0,1.0,179,1726,4.1,42900,42900,90,694.03,0.0,A
150,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,5.0,1.5,157,1090,4.1,54900,54900,111 - 150,744.39,0.0,A
151,Blue,"Blue Star Convertible 4 in 1 Cooling 2023 Model 1 Ton 4 Star Split Inverter Multi Sensors, Stabalizer ...",4.0,1.0,384,4478,4.1,59500,33999,90,583.06,42.9,C
152,Panasonic,Panasonic 1 Ton 5 Star Split Inverter AC  - White,5.0,1.0,4,57,4.3,49500,33486,90,573.24,32.4,C
153,Voltas,Voltas 1.5 Ton 5 Star Window AC  - White,5.0,1.5,898,10029,4.3,34690,29096,111 - 150,1157.29,16.1,B
