,Brands,Model,BEE_Rating,Tons,Reviews_Count,Ratings_Count,Cust_Review,Original_Price,Current_Price,Room_Size,Annual_Power_Usage
171,Hitachi,"Hitachi 1 Ton 5 Star Split Inverter AC  - White, Gold",5.0,1.0,217,2406,4.0,54600,37599,90,523.15
172,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.0,1.0,179,1726,4.1,42900,42900,90,694.03
173,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,5.0,1.5,157,1090,4.1,54900,54900,111 - 150,744.39
174,Voltas,Voltas 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,5.0,1.5,427,4828,4.2,75990,41399,111 - 150,750.39
175,SAMSUNG,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1 Ton 3 Star Split Inverter AC  - White,3.0,1.0,313,3616,4.1,55990,53990,90,624.48
176,Godrej,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.0,1.5,403,4378,4.1,45400,30990,111 - 150,965.71
177,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,5.0,1.0,179,1726,4.1,48990,34490,90,524.03
178,LG,"LG 1 Ton 3 Star Split Dual Inverter AC  - White, Maroon",3.0,1.0,35,237,4.3,47990,34275,90,685.49
179,LG,LG 2023 Model 2 Ton 4 Star Window Inverter AC with Wi-fi Connect  - White,4.0,2.0,479,4346,4.2,75990,50990,151 - 200,1384.94
180,MarQ,MarQ by Flipkart Convertible 4-in-1 Cooling 0.8 Ton 3 Star Split Inverter AC  - White,3.0,0.8,91,688,4.0,45499,28888,90,820.0
181,Godrej,Godrej Turbo Mode 2023 Model 1.5 Ton 3 Star Window with Anti Corrosive Blue Fin AC  - White,3.0,1.5,30,334,4.0,41900,41900,111 - 150,1216.12
182,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",5.0,1.5,1521,13889,4.2,73000,43980,111 - 150,770.98
183,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",3.0,1.5,384,4478,4.1,62250,35799,111 - 150,1002.84
184,Haier,"Haier Heavy Duty 2023 Model 2 Ton 3 Star Split Inverter Frost Self Clean, Triple Inverter Plus Technol...",3.0,2.0,292,2371,4.0,88990,52990,151 - 200,1276.55
185,Hitachi,Hitachi 2023 Model 1.5 Ton 5 Star Window Inverter AC  - White,5.0,1.5,0,10,3.5,48590,39449,111 - 150,1068.21
186,Blue,Blue Star 2023 Model 1.3 Ton 3 Star Split Inverter AC  - White,3.0,1.3,1521,13889,4.2,57500,32990,111 - 150,865.48
